University,Caste-Category - Total - Male,Caste-Category - Total - Female,Caste-Category - SC - Male,Caste-Category - SC - Female,Caste-Category - ST - Male,Caste-Category - ST - Female,Caste-Category - OBC - Male,Caste-Category - OBC - Female,Out of Total - PWD - Male,Out of Total - PWD - Female,Out of Total - Muslim - Male,Out of Total - Muslim - Female,Out of Total - Other Minority Communities - Male,Out of Total - Other Minority Communities - Female,Out of Total - Foreign Students - Male,Out of Total - Foreign Students - Female
"Academy of Maritime Education and Training, Chennai (Id: U-0434)",2279,123,117,6,26,1,1336,47,0,0,57,7,139,22,40,21
ACADEMY OF SCIENTIFIC & INNOVATIVE RESEARCH (Id: U-0713),1161,578,124,40,17,5,347,112,5,0,0,0,0,0,1,0
"Acharya Nagarjuna University, Guntur (Id: U-0003)",67610,54003,14580,11560,3367,2195,24496,17648,109,36,2308,1701,292,229,0,0
"Acharya NG Ranga Agricultural University, Hyderabad (Id: U-0004)",2249,2602,375,468,234,192,1008,1239,6,5,0,0,0,0,1,1
ADESH UNIVERSITY (Id: U-0736),1114,1365,81,126,0,1,17,26,0,0,1,1,0,0,0,0
"Adikavi Nannaya University, Rajahmundry, East Godawari (Id: U-0005)",19249,19331,3636,3831,644,549,8029,7338,80,57,116,161,17,132,0,0
Ahmedabad University (Id: U-0122),3426,3374,68,42,10,12,323,260,0,0,0,0,0,0,19,19
AISECT UNIVERSITY (Id: U-0656),484,141,43,9,19,2,211,62,0,0,29,2,4,2,5,0
"AKS UNIVERSITY, SATNA (Id: U-0650)",1278,173,99,8,19,1,506,53,0,0,15,5,0,0,0,0
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",41133,58391,2581,4813,9,8,5659,16462,21,20,692,3369,306,874,1,0
"Aliah University, Kolkata (Id: U-0567)",3787,969,0,0,0,0,0,0,0,0,3680,900,22,59,0,0
"Aligarh Muslim University, Aligarh (Id: U-0496)",13697,4314,0,0,0,0,0,0,0,0,0,0,0,0,124,0
Alliance University. Bangalore (Id: U-0213),882,461,18,13,4,4,1,0,0,0,0,0,0,0,29,21
All India Institute of Medical Sciences (Id: U-0096),1464,883,141,99,54,48,266,134,13,1,0,0,0,0,76,26
