Institution,Courses,Number of Hostels - Boys,Number of Hostels - Girls,Number of Hostels - Others,Number of Hostels - Total,Intake Capacity - Boys,Intake Capacity - Girls,Intake Capacity - Others,Intake Capacity - Total,Number of Students Residing - Boys,Number of Students Residing - Girls,Number of Students Residing - Others,Number of Students Residing - Total,Level - Ph.D - Male,Level - Ph.D - Female,Level - M.Phil - Male,Level - M.Phil - Female,Level - Post Graduate - Male,Level - Post Graduate - Female,Level - Under Graduate - Male,Level - Under Graduate - Female,Level - PG Diploma - Male,Level - PG Diploma - Female,Level - Diploma - Male,Level - Diploma - Female,Level - Certificate - Male,Level - Certificate - Female,Level - Integrated - Male,Level - Integrated - Female,Level - Total - Male,Level - Total - Female,Grand Total
"Academy of Maritime Education and Training, Chennai ",22,6,2,2,10,1872.0,73.0,80.0,2025,1464.0,41.0,61.0,1566,0.0,0.0,1.0,0.0,69.0,9.0,600.0,7.0,,,,,,,,,670,16,686
"Acharya Nagarjuna University, Guntur ",132,5,1,1,7,1020.0,204.0,32.0,1256,1530.0,306.0,39.0,1875,192.0,92.0,103.0,75.0,3350.0,3007.0,12135.0,11846.0,0.0,0.0,15.0,42.0,0.0,13.0,12.0,9.0,15807,15084,30891
"Acharya NG Ranga Agricultural University, Hyderabad ",11,23,23,0,46,1456.0,1231.0,,2687,1961.0,1955.0,,3916,26.0,28.0,,,32.0,50.0,345.0,298.0,,,,,,,,,403,376,779
"Adikavi Nannaya University, Rajahmundry, East Godawari ",20,1,0,0,1,80.0,,,80,63.0,,,63,0.0,0.0,,,48.0,44.0,,,,,,,,,0.0,0.0,48,44,92
Ahmedabad University ,6,1,2,0,3,160.0,368.0,,528,45.0,121.0,,166,,,,,187.0,71.0,377.0,377.0,,,,,,,,,564,448,1012
"AIIMS, Ansari Nagar New Delhi ",125,14,4,1,19,1119.0,296.0,352.0,1767,1119.0,296.0,352.0,1767,56.0,25.0,,,150.0,52.0,38.0,92.0,,,,,,,,,244,169,413
AISECT UNIVERSITY ,42,2,0,0,2,160.0,,,160,157.0,,,157,0.0,0.0,0.0,0.0,11.0,2.0,66.0,10.0,0.0,0.0,0.0,0.0,,,,,77,12,89
"Alagappa University, Alagappa Nagar, Karaikudi ",135,2,3,0,5,428.0,320.0,,748,390.0,286.0,,676,88.0,44.0,65.0,119.0,10044.0,7614.0,7915.0,11059.0,6.0,3.0,0.0,0.0,0.0,168.0,0.0,0.0,18118,19007,37125
"Aliah University, Kolkata ",29,2,1,0,3,192.0,45.0,,237,192.0,45.0,,237,,,,,116.0,46.0,210.0,17.0,,,,,865.0,234.0,4.0,4.0,1195,301,1496
"Aligarh Muslim University, Aligarh ",313,13,5,0,18,7334.0,2811.0,,10145,7597.0,2946.0,,10543,1087.0,0.0,49.0,0.0,1777.0,0.0,4715.0,0.0,398.0,0.0,735.0,0.0,94.0,0.0,,,8855,0,8855
Alliance University. Bangalore ,2,2,2,0,4,606.0,430.0,,1036,606.0,430.0,,1036,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0,0,0
"Amity University, Gautam Budh Nagar ",201,11,8,0,19,2417.0,3257.0,,5674,2223.0,2965.0,,5188,0.0,0.0,13.0,13.0,2577.0,1388.0,3141.0,1537.0,5.0,13.0,2.0,12.0,,,106.0,57.0,5844,3020,8864
"Amity University Haryana, Gurgaon ",39,2,1,0,3,864.0,432.0,,1296,400.0,160.0,,560,,,,,137.0,165.0,396.0,179.0,2.0,0.0,,,,,,,535,344,879
"Amrita Vishwa Vidyapeetham, Coimbatore ",192,6,2,0,8,4019.0,1682.0,,5701,3103.0,1506.0,,4609,7.0,4.0,,,521.0,695.0,1596.0,1454.0,3.0,9.0,0.0,0.0,,,1.0,9.0,2128,2171,4299
"Andhra University, Visakhapatnam ",257,20,3,1,24,3672.0,1573.0,236.0,5481,4030.0,1993.0,236.0,6259,192.0,77.0,26.0,21.0,7472.0,7328.0,6216.0,8860.0,30.0,18.0,24.0,18.0,39.0,36.0,0.0,0.0,13999,16358,30357
"Annamalai University, Annamalainagar ",725,15,4,0,19,7816.0,4734.0,,12550,7267.0,4181.0,,11448,226.0,92.0,71.0,67.0,18114.0,22042.0,27531.0,25507.0,1035.0,417.0,566.0,417.0,607.0,1035.0,0.0,0.0,48150,49577,97727
"Anna University, Chennai ",123,20,11,6,37,2184.0,1604.0,152.0,3940,3426.0,2042.0,149.0,5617,,,15.0,16.0,1090.0,1018.0,1127.0,767.0,,,,,,,,,2232,1801,4033
"Anna University, Coimbatore ",132,1,1,0,2,450.0,400.0,,850,134.0,129.0,,263,4.0,3.0,,,8530.0,5486.0,22677.0,14233.0,344.0,57.0,,,,,0.0,0.0,31555,19779,51334
"Anna University of Technology, Madurai ",9,0,1,0,1,,75.0,,75,,60.0,,60,109.0,0.0,,,1292.0,769.0,5505.0,3664.0,,,,,,,,,6906,4433,11339
"Anna University of Technology, Tirunelveli ",9,1,1,0,2,280.0,100.0,,380,275.0,90.0,,365,0.0,0.0,,,1404.0,1198.0,8634.0,5325.0,,,,,,,16.0,0.0,10054,6523,16577
"Anna University, Tiruchirapalli ",21,2,2,0,4,668.0,1096.0,,1764,668.0,1096.0,,1764,,,,,1541.0,1230.0,9548.0,4713.0,,,,,,,,,11089,5943,17032
"Apeejay Stya University, Sohna ",22,1,1,0,2,271.0,214.0,,485,11.0,5.0,,16,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0,0,0
"A.P. Horticulture University Venkannagudem, T.P. Gudem, West Godawari ",4,4,4,1,9,500.0,430.0,250.0,1180,540.0,557.0,250.0,1347,0.0,0.0,,,17.0,16.0,107.0,105.0,,,60.0,61.0,,,,,184,182,366
"A.P. University of Law, Vishakhapatnam ",3,1,1,1,3,60.0,40.0,20.0,120,60.0,40.0,20.0,120,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0,0,0
"Arni University, Katgarh , Kangra ",28,3,1,0,4,587.0,192.0,,779,357.0,119.0,,476,,,0.0,0.0,104.0,81.0,0.0,0.0,,,0.0,0.0,,,,,104,81,185
"Assam Agricultural University, Jorhat ",39,4,7,0,11,270.0,579.0,,849,270.0,579.0,,849,5.0,12.0,,,42.0,52.0,130.0,134.0,,,,,,,,,177,198,375
"Assam Doon Bosco University, Guwahati ",20,3,2,0,5,340.0,240.0,,580,240.0,210.0,,450,0.0,0.0,,,23.0,11.0,0.0,0.0,0.0,0.0,,,,,,,23,11,34
"Assam University, Silchar ",31,4,3,0,7,314.0,275.0,,589,314.0,275.0,,589,,,,,410.0,353.0,891.0,1121.0,,,,,1.0,2.0,33.0,33.0,1335,1509,2844
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior ",6,3,1,0,4,880.0,237.0,,1117,622.0,152.0,,774,5.0,2.0,,,100.0,22.0,,,,,,,,,69.0,9.0,174,33,207
"Awadesh Pratap Singh University, Rewa ",46,1,1,0,2,100.0,100.0,,200,200.0,200.0,,400,49.0,19.0,496.0,198.0,2479.0,3202.0,17182.0,17044.0,46.0,19.0,169.0,100.0,37.0,13.0,0.0,0.0,20458,20595,41053
"Azim Premji University, Bangalore ",2,1,1,0,2,54.0,42.0,,96,45.0,23.0,,68,,,,,0.0,0.0,,,,,,,,,,,0,0,0
"Baba Ghulam Shah Badshah University, Jammu ",25,5,4,0,9,583.0,245.0,,828,547.0,212.0,,759,0.0,0.0,0.0,0.0,84.0,28.0,39.0,5.0,,,,,,,,,123,33,156
"Babasaheb Bhimrao Ambedkar Bihar University, Muzaffarpur ",23,6,4,0,10,555.0,255.0,,810,204.0,335.0,,539,,,,,1946.0,798.0,29743.0,19322.0,,,,,1307.0,408.0,,,32996,20528,53524
"Babasheb Bhimrao Ambedkar University, Lucknow ",42,2,1,0,3,317.0,382.0,,699,232.0,247.0,,479,23.0,10.0,,,206.0,108.0,,,,,,,,,,,229,118,347
"Babu Banarsi Das University, Lucknow ",40,3,4,0,7,933.0,1096.0,,2029,933.0,1084.0,,2017,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,0,0,0
"Baddi University of Emerging Sciences and Technology, Budha , Solan ",15,2,1,1,4,1200.0,500.0,120.0,1820,1118.0,400.0,117.0,1635,,,,,102.0,28.0,303.0,121.0,,,,,,,,,405,149,554
"Bahra University, Solan ",9,1,1,0,2,192.0,72.0,,264,161.0,63.0,,224,0.0,0.0,,,10.0,5.0,0.0,0.0,,,,,,,,,10,5,15
"Banaras Hindu University, Banaras ",293,41,25,1,67,5342.0,1606.0,0.0,6948,10233.0,3838.0,0.0,14071,258.0,169.0,,,1681.0,1302.0,2753.0,3135.0,0.0,0.0,0.0,42.0,0.0,49.0,,,4692,4697,9389
Banasthali Vidyapith ,59,0,27,0,27,,7868.0,,7868,,7840.0,,7840,55.0,296.0,0.0,44.0,0.0,4348.0,0.0,4369.0,0.0,17.0,,,,,,,55,9074,9129
"Bangalore University, Bangalore ",114,8,4,0,12,1756.0,730.0,,2486,1488.0,723.0,,2211,77.0,40.0,,,6893.0,6019.0,30934.0,39357.0,19.0,51.0,40.0,182.0,93.0,469.0,3.0,2.0,38059,46120,84179
"Barkatullah University, Bhopal ",47,3,2,0,5,356.0,210.0,,566,356.0,210.0,,566,39.0,46.0,0.0,14.0,5355.0,5451.0,22186.0,25802.0,256.0,255.0,131.0,292.0,2.0,1.0,10.0,8.0,27979,31869,59848
"Berhampur University, Berhampur ",43,6,4,0,10,482.0,292.0,,774,364.0,284.0,,648,,,53.0,49.0,750.0,522.0,2523.0,2039.0,6.0,2.0,,,,,,,3332,2612,5944
"Bhagat Phool Singh Mahila University, Khanpur Kalan, Sonipat ",26,0,15,0,15,,1596.0,,1596,,2929.0,,2929,0.0,3.0,,,0.0,147.0,0.0,831.0,,,0.0,54.0,0.0,49.0,0.0,96.0,0,1180,1180
