College_id,College_name,survey_year,offers_scholarship,id,total_general_total,total_general_females,total_sc_total,total_sc_females,total_st_total,total_st_females,total_obc_total,total_obc_females,total_total_persons,total_total_females,total_remarks_id,pwd_general_total,pwd_general_females,pwd_sc_total,pwd_sc_females,pwd_st_total,pwd_st_females,pwd_obc_total,pwd_obc_females,pwd_total_persons,pwd_total_females,pwd_remarks_id,muslim_minority_general_total,muslim_minority_general_females,muslim_minority_sc_total,muslim_minority_sc_females,muslim_minority_st_total,muslim_minority_st_females,muslim_minority_obc_total,muslim_minority_obc_females,muslim_minority_total_persons,muslim_minority_total_females,muslim_minority_remarks_id,other_minority_general_total,other_minority_general_females,other_minority_sc_total,other_minority_sc_females,other_minority_st_total,other_minority_st_females,other_minority_obc_total,other_minority_obc_females,other_minority_total_persons,other_minority_total_females,other_minority_remarks_id,total_remark
5935,"Shri R. P. Arts, Shri K. B. Commerce and Smt. B. C. J. Science College",2015,TRUE,4432542,198,117,145,84,17,9,818,325,1178,535,NA,3,0,0,0,0,0,0,0,3,0,NA,178,117,0,0,0,0,0,0,178,117,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
5795,U. T. S. Mahila Arts College,2015,TRUE,4388298,20,20,137,137,15,15,189,189,361,361,NA,5,5,0,0,0,0,0,0,5,5,NA,15,15,0,0,0,0,0,0,15,15,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
53088,Tawi College,2015,TRUE,4831321,0,0,21,10,0,0,4,1,25,11,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
53230,G. D. College,2015,TRUE,4807976,34,8,0,0,0,0,0,0,34,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,34,8,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA
53996,G D C Muwani,2015,TRUE,5011301,0,0,22,20,0,0,6,4,28,24,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
54279,B R COLLEGE,2015,TRUE,5520693,3,2,2,1,2,2,15,10,22,15,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
54333,Atma College,2015,TRUE,5223472,0,0,1,0,0,0,0,0,1,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
5965,Divya Drashti B. Ed. College,2015,TRUE,4927110,0,0,5,4,18,10,44,22,67,36,NA,0,0,0,0,0,0,6,0,6,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
896,"SHREE SHARDAPEETH ARTS,COMM.& EDUCATION COLLEGE-DWARKA",2015,TRUE,4481451,0,0,71,49,3,1,195,135,269,185,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
5842,"Government Arts & Commerce, Naswadi",2015,TRUE,4282143,0,0,25,17,530,174,71,27,626,218,NA,0,0,0,0,1,0,0,0,1,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
6019,J. K. Desai B.Ed. College,2015,TRUE,4307749,0,0,0,0,36,21,8,2,44,23,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
6014,J. & R. B. Ed. College,2015,TRUE,4258639,0,0,4,4,23,15,10,10,37,29,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
54634,GDC TAKIPUR,2015,TRUE,5378423,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
54652,GFGC RAMPUR,2015,TRUE,5406877,0,0,32,9,0,0,0,0,32,9,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
54687,GFGC TALAKADU,2015,TRUE,5372248,0,0,14,11,10,3,13,10,37,24,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
870,SHRI ARJUN ARTS & B.S.W.COLLEGE-SUPASI (TA.VERAVAL),2015,TRUE,4625089,0,0,44,38,8,5,0,0,52,43,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
19316,SHRI ARJUN B.ED. COLLEGE-SUPASI,2015,TRUE,4605514,0,0,12,5,0,0,0,0,12,5,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
811,"SHRI MATRUVANDAN B.ED. COLLEGE, SIMAR (KIDIVAV)",2015,TRUE,4400604,0,0,12,8,3,2,0,0,15,10,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
858,SHRI SARASWATI COLLEGE OF EDUCATION -GIR GADHADA(UNA),2015,TRUE,4304466,0,0,224,53,19,4,19,6,262,63,NA,0,0,0,0,0,0,3,1,3,1,NA,0,0,0,0,0,0,19,6,19,6,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
791,"SHRI UKABHAI DODIYA MAHILA B.ED. COLLEGE, VERAVAL",2015,TRUE,4294370,0,0,5,2,7,2,0,0,12,4,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
951,SHRI V.J.SOLANKI B.ED. COLLEGE-KODINAR,2015,TRUE,4495313,0,0,57,21,0,0,0,0,57,21,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
855,"SMT. C.P. CHOKSI ARTS & SHREE P.L. CHOKSI COMMERCE COLLEGE, VERAVAL",2015,TRUE,4253941,121,18,0,0,0,0,0,0,121,18,NA,0,0,0,0,0,0,0,0,0,0,NA,121,18,0,0,0,0,0,0,121,18,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
939,"SMT. V.B. NANDOLA COMPUTER SCIENCE COLLEGE, BHACHA",2015,TRUE,4458743,3,0,8,1,0,0,19,3,30,4,NA,0,0,0,0,0,0,0,0,0,0,NA,3,0,0,0,0,0,11,3,14,3,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
1053,SOMNATH ARTS & PHYS. EDUCATION COLLEGE-KODINAR,2015,TRUE,4551032,0,0,494,231,4,0,0,0,498,231,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
5837,Kabir Vikas Mandal Dasa Sanchalit Arts College,2015,TRUE,4338950,0,0,19,8,1057,631,18,7,1094,646,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,15,5,15,5,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
5843,Kapadia N. M. M. S. Arts & The S. N. S. B. Commerce College,2015,TRUE,4309200,4,3,46,30,80,40,108,67,238,140,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
5876,K. R. Desai Arts & Commerce College,2015,TRUE,4307403,0,0,15,8,1492,714,49,27,1556,749,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,23,18,23,18,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
6060,Law College,2015,TRUE,4457631,0,0,0,0,36,15,0,0,36,15,NA,0,0,0,0,1,0,0,0,1,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
5836,Limkehda Arts College,2015,TRUE,4616164,0,0,15,11,501,247,80,50,596,308,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
