Sr. No.,State Name,University District,Univesity Name / Body Type,Institution District,College/Stand Alone Institution,Student Enrolment - Male,Student Enrolment - Female,Student Enrolment - Total,Teaching Staff (Excluding - Male),Teaching Staff (Excluding - Female),Teaching Staff (Excluding - Total),PTR (Equal to 9/12)
1,Andaman and Nicobar Islands,Puducherry,College Institution,Nicobars,Dr.B.R. Ambedkar Institute of Technology,934,379,1313,38,18,56,23
2,Andaman and Nicobar Islands,Puducherry,College Institution,Nicobars,Zoological Survey of India,5,0,5,2,1,3,1
3,Andaman and Nicobar Islands,Puducherry,College Institution,Nicobars,Tagore Government College of Education,209,169,378,5,2,7,54
4,Andaman and Nicobar Islands,Puducherry,College Institution,Nicobars,Regional Medical Research Institute (I.C.M.R.),11,1,12,8,1,9,1
5,Andhra Pradesh,Krishna,College Institution,Krishna,A.J. COLLEGE OF EDUCATION,85,50,135,6,1,7,19
6,Andhra Pradesh,Anantapur,College Institution,Chittoor,"Siddhartha Institute of Science and Technology, Puttur",1110,345,1455,35,26,61,23
7,Andhra Pradesh,Y.S.R.,College Institution,Y.S.R.,Chaitanya Degree College,82,46,128,12,0,12,10
8,Andhra Pradesh,Guntur,College Institution,Guntur,Nalanda College of Education,95,55,150,4,4,8,18
9,Andhra Pradesh,Sri Potti Sriramulu Nellore,College Institution,Sri Potti Sriramulu Nellore,"Dr. C.R.R. College of Education Sydapuram (M), Nellore (Dt.)",100,53,153,6,1,7,21
10,Andhra Pradesh,Visakhapatnam,College Institution,East Godavari,Siddardha College Of Education,100,48,148,6,3,9,16
11,Andhra Pradesh,Sri Potti Sriramulu Nellore,College Institution,Sri Potti Sriramulu Nellore,"Govt. Degree College, Rapur",83,28,111,4,4,8,13
12,Andhra Pradesh,Sri Potti Sriramulu Nellore,College Institution,Sri Potti Sriramulu Nellore,Velankini Institute of Management Studies,96,22,118,9,2,11,10
13,Andhra Pradesh,Krishna,College Institution,Krishna,SRI SARADA DEGREE COLLEGE,178,80,258,5,3,8,32
14,Andhra Pradesh,Guntur,College Institution,Guntur,Sri Venkateswara Degree College,363,142,505,9,4,13,38
15,Andhra Pradesh,Guntur,College Institution,Guntur,Mahatma Gandhi College,942,549,1491,9,11,20,74
16,Andhra Pradesh,Krishna,College Institution,Krishna,MRR ARTS and SCIENCE COLLEGE,50,17,67,5,4,9,7
17,Andhra Pradesh,Guntur,College Institution,Guntur,R.V.R. and J.C. College of Engineering,3746,1367,5113,50,13,63,81
18,Andhra Pradesh,Guntur,College Institution,Prakasam,"Sri Harshini Degree College, Martur",397,186,583,13,4,17,34
19,Andhra Pradesh,Kurnool,College Institution,Kurnool,"The Adoni Arts and Science College,",1957,369,2326,39,13,52,44
20,Andhra Pradesh,Guntur,College Institution,Guntur,S.G.K. Oriental College,77,50,127,4,2,6,21
21,Andhra Pradesh,Sri Potti Sriramulu Nellore,College Institution,Sri Potti Sriramulu Nellore,"DRW College, Gudur",526,526,1052,2,30,32,32
22,Andhra Pradesh,Guntur,College Institution,Guntur,Dr.K.V.K. Sanskrit College,11,2,13,5,0,5,2
23,Andhra Pradesh,Krishna,College Institution,Krishna,TRIVENI MAHILA DEGREE COLLEGE,436,436,872,6,10,16,54
24,Andhra Pradesh,Guntur,College Institution,Prakasam,S M Y College of Education,96,50,146,6,2,8,18
25,Andhra Pradesh,Krishna,College Institution,Krishna,ST. ANDREWS COLLEGE OF EDUCATION,100,65,165,7,3,10,16
26,Andhra Pradesh,Chittoor,College Institution,Chittoor,"Sidhartha Institute of Higher learning, Madanapalle Urban",508,234,742,18,4,22,33
27,Andhra Pradesh,Krishna,College Institution,Krishna,VISWA JYOTHI COLLEGE OF EDUATION,96,50,146,4,2,6,24
28,Andhra Pradesh,Guntur,College Institution,Guntur,Andhra Muslim College,260,116,376,15,11,26,14
29,Andhra Pradesh,Krishna,College Institution,Krishna,SRI SAI MAHITHA DEGREE COLLEGE,121,65,186,5,8,13,14
30,Andhra Pradesh,Sri Potti Sriramulu Nellore,College Institution,Sri Potti Sriramulu Nellore,"Sri Chandra Reddy Degree College, Nellore",1040,413,1453,58,8,66,22
31,Andhra Pradesh,Guntur,College Institution,Guntur,"Prabhala PG College for Women, Nagarjuna Nagar",20,20,40,6,4,10,4
32,Andhra Pradesh,East Godavari,College Institution,Krishna,"Vikas College of Engineering and Technology, Nunna, Vijayawada (Rural), PIN-521212(CC-NQ)",761,269,1030,80,34,114,9
33,Andhra Pradesh,Krishna,College Institution,Krishna,SAV and NVJR DEGREE COLLEGE,268,148,416,11,1,12,34
34,Andhra Pradesh,East Godavari,College Institution,Guntur,"Don Bosco Institute of Technology and Science(DBITS), 5th Mile, Pulladigunta, (Vil)Vatticherukuru PIN-522 017 (CC-GK)",638,96,734,61,25,86,8
35,Andhra Pradesh,Guntur,College Institution,Guntur,Vision Institute of Sciences and Technology,77,26,103,8,4,12,8
36,Andhra Pradesh,Srikakulam,College Institution,Srikakulam,SANTHINIKETAN DEGREE COLLEGE,212,92,304,18,2,20,15
37,Andhra Pradesh,East Godavari,College Institution,Guntur,"E V M College of Engineering and Technology, Jonnalagadda, Narasaraopet-522601(CC-AR)",748,254,1002,55,34,89,11
38,Andhra Pradesh,Guntur,College Institution,Guntur,M.A.M College of Education,90,44,134,8,0,8,16
39,Andhra Pradesh,East Godavari,College Institution,Guntur,"Newton's Institute of Engineering, Aluguraja Pally(V), Koppunoor Post, Macherla(M), PIN-522426 (CC-A1)",1220,262,1482,104,25,129,11
40,Andhra Pradesh,Guntur,College Institution,Guntur,St Mark NTR College of Education,89,50,139,6,1,7,19
41,Andhra Pradesh,Guntur,College Institution,Guntur,Sri Mahaveer Memorial Jain Degree College,300,126,426,17,1,18,23
42,Andhra Pradesh,Anantapur,College Institution,Kurnool,"Santhiram College of Pharmacy, Nandyal",234,127,361,20,3,23,15
43,Andhra Pradesh,Krishna,College Institution,Krishna,D.V.R. DEGREE COLLEGE,249,95,344,19,3,22,15
44,Andhra Pradesh,Guntur,College Institution,Guntur,Dr. K.S.P.R College of Education,193,95,288,9,3,12,24
45,Andhra Pradesh,Guntur,College Institution,Guntur,"A.S.N Pharmacy College, Tenali",237,164,401,23,6,29,13
46,Andhra Pradesh,Visakhapatnam,College Institution,Vizianagaram,"Pragathi Degree College, Kottavalasa, Vizianagaram",713,300,1013,19,7,26,38
47,Andhra Pradesh,Guntur,College Institution,Guntur,"Vagdevi Degree College, Rentachintala",132,36,168,7,6,13,12
48,Andhra Pradesh,Guntur,College Institution,Guntur,K.C Reddy Institute of Pharmaceutical Sciences,255,100,355,18,8,26,13
49,Andhra Pradesh,Guntur,College Institution,Guntur,Venigalla Jayasri Ram College,48,8,56,6,2,8,7
50,Andhra Pradesh,Sri Potti Sriramulu Nellore,College Institution,Sri Potti Sriramulu Nellore,"Alexa College of Education,Venkatachalam",100,57,157,3,5,8,19
51,Andhra Pradesh,Anantapur,College Institution,Y.S.R.,P.Rami Reddy Memorial College of Pharmacy,253,135,388,22,7,29,13
52,Andhra Pradesh,East Godavari,College Institution,Guntur,"Krishnaveni Engineering College for Women, Kesanupalli(Post), Narasaraopet, PIN - 522 601(CC-KC)",792,792,1584,42,23,65,24
53,Andhra Pradesh,Krishna,College Institution,Krishna,SYED APPALASWAMY COLLEGE,343,107,450,5,1,6,75
