University,Vice-Chancellor - Male,Vice-Chancellor - Female,Director - Male,Director - Female,Pro- Vice-Chancellor - Male,Pro- Vice-Chancellor - Female,Principal - Male,Principal - Female,Professor & Equivalent - Male,Professor & Equivalent - Female,Associate Professor - Male,Associate Professor - Female,Reader - Male,Reader - Female,Lecturer (Selection Grade) - Male,Lecturer (Selection Grade) - Female,Assistant Professor - Male,Assistant Professor - Female,Lecturer (Senior Scale) - Male,Lecturer (Senior Scale) - Female,Lecturer - Male,Lecturer - Female,Tutor - Male,Tutor - Female,Demonstrator - Male,Demonstrator - Female,Part-Time Teacher - Male,Part-Time Teacher - Female,Ad hoc Teacher - Male,Ad hoc Teacher - Female,Temporary Teacher - Male,Temporary Teacher - Female,Contract Teacher - Male,Contract Teacher - Female,Visiting Teacher - Male,Visiting Teacher - Female,Total - Male,Total - Female,Grand Total
"Academy of Maritime Education and Training, Chennai (Id: U-0434)",NA,NA,NA,NA,NA,NA,NA,NA,17,0,0,0,0,0,0,0,32,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,10,59
ACADEMY OF SCIENTIFIC & INNOVATIVE RESEARCH (Id: U-0713),1,0,NA,NA,NA,NA,NA,NA,617,76,368,65,NA,NA,NA,NA,822,175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1808,316,2124
"Acharya Nagarjuna University, Guntur (Id: U-0003)",1,0,9,2,NA,NA,280,35,130,18,189,57,20,18,280,125,506,284,98,58,2202,1202,7,0,NA,NA,65,21,68,97,23,13,15,2,5,1,3898,1933,5831
"Acharya NG Ranga Agricultural University, Hyderabad (Id: U-0004)",NA,NA,NA,NA,NA,NA,NA,NA,60,31,37,19,NA,NA,NA,NA,75,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172,89,261
ADESH UNIVERSITY (Id: U-0736),1,0,NA,NA,NA,NA,2,3,42,12,31,14,8,6,NA,NA,28,48,9,4,20,20,0,38,23,12,NA,NA,NA,NA,NA,NA,NA,NA,3,2,167,159,326
"Adikavi Nannaya University, Rajahmundry, East Godawari (Id: U-0005)",1,0,2,0,NA,NA,25,7,25,14,33,8,27,16,169,67,16,13,26,18,540,282,NA,NA,NA,NA,27,23,154,89,6,70,17,18,0,4,1068,629,1697
Ahmedabad University (Id: U-0122),1,0,8,2,NA,NA,NA,NA,4,0,2,0,NA,NA,NA,NA,31,22,9,10,11,38,NA,NA,NA,NA,NA,NA,4,2,NA,NA,NA,NA,81,84,151,158,309
AISECT UNIVERSITY (Id: U-0656),1,0,NA,NA,1,0,1,0,10,5,7,5,NA,NA,NA,NA,24,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,23,67
"AKS UNIVERSITY, SATNA (Id: U-0650)",NA,NA,NA,NA,1,0,NA,NA,0,0,3,0,NA,NA,NA,NA,25,13,NA,NA,10,4,NA,NA,15,2,NA,NA,NA,NA,NA,NA,NA,NA,12,0,66,19,85
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",1,0,4,2,NA,NA,12,9,39,7,159,86,NA,NA,NA,NA,466,590,NA,NA,297,126,0,10,NA,NA,1,0,NA,NA,1,30,NA,NA,0,1,980,861,1841
"Aliah University, Kolkata (Id: U-0567)",1,0,NA,NA,NA,NA,NA,NA,0,0,2,0,NA,NA,NA,NA,53,12,NA,NA,NA,NA,NA,NA,NA,NA,68,5,NA,NA,0,1,0,1,15,1,139,20,159
"Aligarh Muslim University, Aligarh (Id: U-0496)",1,0,4,1,NA,NA,0,1,291,39,298,56,NA,NA,NA,NA,240,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,29,NA,NA,NA,NA,897,219,1116
Alliance University. Bangalore (Id: U-0213),1,0,3,0,0,1,NA,NA,17,11,16,8,NA,NA,NA,NA,30,12,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,67,34,101
All India Institute of Medical Sciences (Id: U-0096),NA,NA,1,0,3,2,0,1,175,56,2,7,NA,NA,1,8,70,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,338,153,491
"Amity University, Gautam Budh Nagar (Id: U-0497)",NA,NA,NA,NA,NA,NA,NA,NA,120,48,51,60,NA,NA,1,0,429,578,33,45,79,81,NA,NA,0,3,NA,NA,NA,NA,NA,NA,22,41,NA,NA,735,856,1591
"Amity University, Gwalior (Id: U-0604)",1,0,1,0,NA,NA,NA,NA,6,1,NA,NA,NA,NA,NA,NA,7,4,1,1,10,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,27,10,37
"Amity University Haryana, Gurgaon (Id: U-0155)",1,0,2,0,0,1,0,1,14,11,NA,NA,NA,NA,NA,NA,18,10,13,14,67,73,0,1,1,3,NA,NA,6,6,NA,NA,NA,NA,4,0,126,120,246
"Amity University, Jaipur, (Id: U-0388)",NA,NA,6,0,1,0,NA,NA,8,2,NA,NA,NA,NA,NA,NA,17,13,24,14,56,34,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,113,64,177
"Amrita Vishwa Vidyapeetham, Coimbatore (Id: U-0436)",1,0,NA,NA,NA,NA,1,0,182,65,101,51,NA,NA,NA,NA,426,515,NA,NA,6,3,208,119,NA,NA,16,6,NA,NA,NA,NA,NA,NA,11,2,952,761,1713
"Anand Agricultural University, Anand (Id: U-0123)",1,0,NA,NA,NA,NA,5,0,125,0,186,4,NA,NA,NA,NA,390,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,707,22,729
"Andhra University, Visakhapatnam (Id: U-0006)",1,0,7,0,NA,NA,46,14,256,92,139,73,28,16,70,39,448,361,19,14,445,221,NA,NA,NA,NA,41,21,NA,NA,12,27,4,52,8,4,1524,934,2458
"Annamalai University, Annamalainagar (Id: U-0443)",NA,NA,NA,NA,NA,NA,1,0,296,86,132,28,38,15,NA,NA,1097,294,NA,NA,38,25,10,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1612,481,2093
"Anna University, Chennai (Id: U-0439)",1,0,92,16,NA,NA,310,25,2571,708,2875,1651,1,0,113,88,17975,14571,159,142,2241,1702,2,1,12,1,13,6,1,0,86,38,8,4,30,18,26490,18973,45463
Ansal University (Id: U-0667),1,0,NA,NA,NA,NA,4,1,2,1,2,2,NA,NA,NA,NA,11,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,31,51
"Apeejay Stya University, Sohna (Id: U-0156)",NA,NA,NA,NA,NA,NA,1,0,2,2,3,0,NA,NA,NA,NA,11,12,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,0,NA,NA,NA,NA,NA,NA,20,16,36
APG (ALAKH PRAKASH GOYAL) SHIMLA UNIVERSITY (Id: U-0697),1,0,NA,NA,NA,NA,NA,NA,3,0,3,1,NA,NA,NA,NA,17,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,9,33
"A.P. University of Law, Vishakhapatnam (Id: U-0002)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,4,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,5,14
"Arni University, Katgarh (Indora), Kangra (Id: U-0176)",1,0,NA,NA,NA,NA,NA,NA,6,0,4,0,NA,NA,NA,NA,90,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,33,134
"Aryabhatta Knoweledge University , Patna (Id: U-0057)",1,0,5,1,NA,NA,25,4,94,9,139,18,1,4,10,2,550,55,12,3,27,8,122,28,27,0,12,3,NA,NA,NA,NA,42,5,51,10,1118,150,1268
"Assam Agricultural University, Jorhat (Id: U-0048)",NA,NA,NA,NA,NA,NA,1,0,213,96,66,28,NA,NA,NA,NA,58,36,NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,5,0,NA,NA,345,160,505
"Assam Don Bosco University, Guwahati (Id: U-0049)",1,0,NA,NA,1,0,NA,NA,9,1,15,4,NA,NA,NA,NA,37,23,NA,NA,NA,NA,NA,NA,NA,NA,8,3,NA,NA,NA,NA,NA,NA,7,4,78,35,113
