Institution,Caste-Category - Total - Male,Caste-Category - Total - Female,Caste-Category - SC - Male,Caste-Category - SC - Female,Caste-Category - ST - Male,Caste-Category - ST - Female,Caste-Category - OBC - Male,Caste-Category - OBC - Female,Out of Total - PWD - Male,Out of Total - PWD - Female,Out of Total - Muslim - Male,Out of Total - Muslim - Female,Out of Total - Other Minority Communities - Male,Out of Total - Other Minority Communities - Female
"Academy of Maritime Education and Training, Chennai (Id: U-0434)",89,15,6,4,0,0,12,7,0,0,1,2,2,0
"Acharya Nagarjuna University, Guntur (Id: U-0003)",142,54,21,11,6,5,45,10,1,0,0,0,1,1
"Acharya NG Ranga Agricultural University, Hyderabad (Id: U-0004)",154,55,13,6,5,1,33,6,0,0,0,0,0,0
"Adikavi Nannaya University, Rajahmundry, East Godawari (Id: U-0005)",32,36,7,11,0,1,3,6,1,0,0,0,0,0
Ahmedabad University (Id: U-0122),48,59,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"AIIMS, Ansari Nagar New Delhi (Id: U-0096)",342,155,45,15,9,4,42,5,0,0,0,0,0,0
AISECT UNIVERSITY (Id: U-0656),40,25,4,1,0,0,7,4,1,0,1,0,0,0
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",111,20,24,3,1,0,80,12,0,0,0,1,0,0
"Aliah University, Kolkata (Id: U-0567)",86,10,0,0,0,0,0,0,0,0,51,9,0,0
"Aligarh Muslim University, Aligarh (Id: U-0496)",901,298,0,0,0,0,0,0,0,0,838,268,0,0
Alliance University. Bangalore (Id: U-0213),56,18,0,0,0,0,0,0,0,0,0,0,0,0
"Amity University, Gautam Budh Nagar (Id: U-0497)",601,815,0,0,0,0,0,0,0,0,0,0,0,0
"Amity University, Gwalior (Id: U-0604)",6,1,0,0,0,0,0,0,0,0,0,0,0,0
"Amity University Haryana, Gurgaon (Id: U-0155)",52,73,0,0,0,0,0,0,0,0,2,1,1,1
"Amity University, Jaipur, (Id: U-0388)",104,53,1,2,0,0,14,4,0,0,0,0,0,0
"Amrita Vishwa Vidyapeetham, Coimbatore (Id: U-0436)",966,783,11,16,2,0,160,152,1,4,1,0,5,19
"Anand Agricultural University, Anand (Id: U-0123)",453,0,0,0,0,0,1,0,0,0,1,0,0,0
"Andhra University, Visakhapatnam (Id: U-0006)",336,129,64,21,20,12,95,26,1,0,0,1,0,0
"Annamalai University, Annamalainagar (Id: U-0443)",1631,520,177,75,3,0,1158,351,6,2,35,6,41,21
"Anna University, Chennai (Id: U-0439)",363,200,69,49,3,1,216,96,3,3,4,5,21,22
"Anna University, Coimbatore (Id: U-0440)",44,19,8,2,0,0,27,12,0,0,0,1,0,0
"Anna University of Technology, Chennai (Id: U-0437)",7,5,1,1,0,0,5,3,0,0,0,0,0,0
"Anna University of Technology, Madurai (Id: U-0438)",7,5,0,1,0,0,7,4,0,0,0,0,0,0
"Anna University of Technology, Tirunelveli (Id: U-0442)",24,31,4,8,1,6,15,12,0,0,0,6,0,0
"Anna University, Tiruchirapalli (Id: U-0441)",97,81,15,19,0,0,21,20,0,0,2,2,0,0
"Apeejay Stya University, Sohna (Id: U-0156)",3,12,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA
"A.P. Horticulture University Venkannagudem, T.P. Gudem, West Godawari (Id: U-0001)",109,61,23,8,5,0,36,25,0,0,0,0,0,0
"A.P. University of Law, Vishakhapatnam (Id: U-0002)",9,7,1,0,0,0,4,0,0,0,0,0,0,0
"Arni University, Katgarh (Indora), Kangra (Id: U-0176)",76,30,4,1,1,0,3,0,0,0,0,0,0,0
"Aryabhatta Knoweledge University , Patna (Id: U-0057)",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Assam Agricultural University, Jorhat (Id: U-0048)",212,133,0,0,0,0,0,0,0,0,3,1,0,0
"Assam Doon Bosco University, Guwahati (Id: U-0049)",54,28,0,0,1,1,0,0,0,0,0,0,7,0
"Assam University, Silchar (Id: U-0050)",477,134,51,17,17,13,42,9,3,2,12,3,5,4
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior (Id: U-0267)",22,7,0,0,0,0,2,0,0,0,0,0,0,0
