University,Level - Ph.D - Male,Level - Ph.D - Female,Level - M.Phil - Male,Level - M.Phil - Female,Level - Post Graduate - Male,Level - Post Graduate - Female,Level - Under Graduate - Male,Level - Under Graduate - Female,Level - PG Diploma - Male,Level - PG Diploma - Female,Level - Diploma - Male,Level - Diploma - Female,Level - Certificate - Male,Level - Certificate - Female,Level - Integrated - Male,Level - Integrated - Female,Level - Total - Male,Level - Total - Female,Grand Total
"Academy of Maritime Education and Training, Chennai (Id: U-0434)",0,0,1,0,69,9,600,7,NA,NA,NA,NA,NA,NA,NA,NA,670,16,686
"Acharya Nagarjuna University, Guntur (Id: U-0003)",192,92,103,75,3350,3007,12135,11846,0,0,15,42,0,13,12,9,15807,15084,30891
"Acharya NG Ranga Agricultural University, Hyderabad (Id: U-0004)",26,28,NA,NA,32,50,345,298,NA,NA,NA,NA,NA,NA,NA,NA,403,376,779
"Adikavi Nannaya University, Rajahmundry, East Godawari (Id: U-0005)",0,0,NA,NA,48,44,NA,NA,NA,NA,NA,NA,NA,NA,0,0,48,44,92
Ahmedabad University (Id: U-0122),NA,NA,NA,NA,187,71,377,377,NA,NA,NA,NA,NA,NA,NA,NA,564,448,1012
"AIIMS, Ansari Nagar New Delhi (Id: U-0096)",56,25,NA,NA,150,52,38,92,NA,NA,NA,NA,NA,NA,NA,NA,244,169,413
AISECT UNIVERSITY (Id: U-0656),0,0,0,0,11,2,66,10,0,0,0,0,NA,NA,NA,NA,77,12,89
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",88,44,65,119,10044,7614,7915,11059,6,3,0,0,0,168,0,0,18118,19007,37125
"Aliah University, Kolkata (Id: U-0567)",NA,NA,NA,NA,116,46,210,17,NA,NA,NA,NA,865,234,4,4,1195,301,1496
"Aligarh Muslim University, Aligarh (Id: U-0496)",1087,0,49,0,1777,0,4715,0,398,0,735,0,94,0,NA,NA,8855,0,8855
Alliance University. Bangalore (Id: U-0213),NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"Amity University, Gautam Budh Nagar (Id: U-0497)",0,0,13,13,2577,1388,3141,1537,5,13,2,12,NA,NA,106,57,5844,3020,8864
"Amity University, Gwalior (Id: U-0604)",NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"Amity University Haryana, Gurgaon (Id: U-0155)",NA,NA,NA,NA,137,165,396,179,2,0,NA,NA,NA,NA,NA,NA,535,344,879
"Amity University, Jaipur, (Id: U-0388)",NA,NA,0,0,85,50,74,35,0,0,NA,NA,NA,NA,0,0,159,85,244
"Amrita Vishwa Vidyapeetham, Coimbatore (Id: U-0436)",7,4,NA,NA,521,695,1596,1454,3,9,0,0,NA,NA,1,9,2128,2171,4299
"Anand Agricultural University, Anand (Id: U-0123)",107,15,NA,NA,268,42,441,92,NA,NA,51,12,NA,NA,NA,NA,867,161,1028
"Andhra University, Visakhapatnam (Id: U-0006)",192,77,26,21,7472,7328,6216,8860,30,18,24,18,39,36,0,0,13999,16358,30357
"Annamalai University, Annamalainagar (Id: U-0443)",226,92,71,67,18114,22042,27531,25507,1035,417,566,417,607,1035,0,0,48150,49577,97727
"Anna University, Chennai (Id: U-0439)",NA,NA,15,16,1090,1018,1127,767,NA,NA,NA,NA,NA,NA,NA,NA,2232,1801,4033
"Anna University, Coimbatore (Id: U-0440)",4,3,NA,NA,8530,5486,22677,14233,344,57,NA,NA,NA,NA,0,0,31555,19779,51334
"Anna University of Technology, Chennai (Id: U-0437)",3,0,NA,NA,4751,3464,23372,14225,NA,NA,NA,NA,NA,NA,NA,NA,28126,17689,45815
"Anna University of Technology, Madurai (Id: U-0438)",109,0,NA,NA,1292,769,5505,3664,NA,NA,NA,NA,NA,NA,NA,NA,6906,4433,11339
